,MAE,RMSE,MAPE,DA,PT_stat,PT_p
Ridge,1.584258794784546,2.0404152870178223,1336.2314224243164,58.59872611464968,2.145176849050572,0.01596935494141405
LSTM,1.046384334564209,1.3305634260177612,671.5741157531738,56.68789808917197,1.2998932891773818,0.09681877273747808
GRU,1.1711124181747437,1.4632304906845093,1315.293312072754,56.05095541401274,1.2751424596533019,0.10112941159480915
Transformer,0.8169907331466675,1.095782995223999,448.6783981323242,56.05095541401274,0.6969005503346014,0.24293251667321347
DLinear,1.4525232315063477,1.8635802268981934,1183.7580680847168,56.05095541401274,1.5453443412879044,0.06113149772118753
Lasso,0.8524609208106995,1.124917984008789,750.7447242736816,55.4140127388535,1.3664064858407434,0.08590570709969336
SVR,0.571836194531678,0.7539625346657867,178.91576420597625,54.14012738853503,0.661135084479889,0.25426284361570217
HMM-MoE (Ours),0.561735987663269,0.7518901228904724,124.31817054748535,54.14012738853503,0.23635193206403654,0.4065797961162928
RF,0.5879308471820819,0.7656578814410759,155.23331651662892,52.86624203821656,0.7665757710123987,0.22166689279423613
TimesNet,0.8510112166404724,1.184611439704895,389.09080028533936,52.86624203821656,0.7665757710123987,0.22166689279423613
PatchTST,0.7961760759353638,1.0074092149734497,493.1640625,50.955414012738856,0.15250434843396865,0.4393945805003091
RandomWalk,0.8361828327178955,1.0958051681518555,613.7315273284912,47.77070063694268,-0.7422495774233115,0.7710319321859793
