,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10
OPEC,0.49197948175380973,0.02328509956087582,-0.0010143529412055823,0.02602647750263955,-0.01230706938230642,-0.012136571177471021,-0.010080124248256583,-0.014206783983675322,0.004771417037124935,-0.004750194817481628
Brent,0.48989133640190685,-0.005568352074366906,-0.014745661563535585,0.01735853806948752,-0.02224993972151499,-0.003834539025992379,-0.010975443796567112,-0.007627303387945119,-0.00366062707650356,-0.00486126152228271
WTI,0.504040092979131,-0.008519454302435208,-0.022248713295687297,-0.05692958575606475,0.03786329965174071,0.05533952997825883,0.014198647461790247,0.00939003668068803,0.007771982533077875,-0.03030342535671073
USDCNY,-0.05582475594033917,-0.10482014065317201,0.04322375266422747,-0.7561343304478115,0.025282972822881992,-0.004678203173299518,-0.02951448367456495,0.034851741013151284,0.012370801394015207,0.06773085235032747
Dollar_index,-0.1780411872085914,0.4341692439548773,-0.132218799183258,0.05013904897979521,-0.07757943317354858,-0.0879085899784555,-0.06209597490589761,-0.05528867419382972,0.05033778435029491,-0.04678212602004774
US2Y,0.07837819111673847,0.15955698421810668,-0.061602913912952535,-0.6468765385792237,-0.04187578819598695,-0.006940792919074404,0.03193289924110209,-0.048990129526644985,-0.012983191341224899,-0.08601610605657545
PMI_China,-0.002673075204971346,0.002097775965746952,-0.002856490473116727,0.004162414042385626,-0.0027051635383076593,-0.004458434378392129,0.9962973773739544,-0.0008248256423675981,0.0022782763877533477,0.0013713042312102485
PMI_US,-0.0008547987940690511,0.006680499888193726,-0.00703271139577976,-0.0018739052506059012,-0.004547977434533021,-0.0034240362558994233,-0.0008207287387573206,0.99577510011638,0.0011441068060461974,-0.0053325686070887675
DJIA,0.028950777461866636,0.6183782245836992,0.055503854788982836,0.009359384907108605,0.015304394877162633,0.022650950738259647,0.0023197088447810257,0.03282480634957167,-0.010166736934022246,0.04246714210974918
SP500,0.037003037965922296,0.6251214158051631,0.03905418492409001,-0.009723341727028694,0.04330363742334569,0.033721783784021846,0.026034090516867652,0.014431496975136411,-0.01640898395127454,0.008672226413706817
VIX,-0.001549254550712962,0.007972155677712887,-0.007884403691356567,0.0003849192788976096,0.9932808074830717,-0.006567997832528668,-0.002741935571900824,-0.004594564953850382,0.0019965410135176593,-0.003996851597412564
GPR,0.003815601367095224,-0.013009667571035718,-0.9855111131158557,0.00208809103172871,0.008204917203509157,0.006611143166893138,0.0030624696614710498,0.007374910859214637,-0.003455381981799459,0.00933542222443539
Shengli,0.46979476379276514,0.028884067204438695,0.00702076462060101,0.053013460939252424,-0.025152691606155415,-0.0749975804046096,-0.02219027386950819,0.0026675654747352505,0.010918088783052263,0.044257092030631565
Excavator,-0.00020211287627773958,0.008269766016848932,-0.0091256036123465,-0.006351294324562826,-0.004044815368620285,-0.0004167551132331459,0.0014283862191651333,-0.005448468069668428,0.00038839776598214784,0.9903986938692269
Excavator_YoY,0.0020042805530864054,-0.0024234825792352173,0.0032259197679072858,-0.0018431376053573846,0.00195327340457081,0.0027995948825520244,0.002259837402687157,0.0011356785396246965,0.9982610776436369,0.00039193963696790903
M2_M1_Spread,0.002158409815491069,-0.0068403043437213614,0.006378918372526313,-0.0040459506444596414,0.006642255089066273,-0.990745293082098,0.0045671900545303686,0.003499632458054086,-0.0028913398736069088,0.0004195563417244001
