dropout,seed,dir_acc,mae,rmse,mape,return_corr,vs_rw_pct
0.3,42,57.14285714285714,2.7695922688586383,3.848988587801983,3.915445321975334,0.26657805474830754,5.741219943550841
0.3,123,63.8095238095238,2.787614288591203,4.135129604601347,3.958814438673994,0.2323692573454826,5.1278684357331015
0.3,2024,64.76190476190476,2.6696477318093894,3.8693383451865624,3.774129070529232,0.2597122871095939,9.14267734993329
0.4,42,60.952380952380956,2.7820310448862267,3.887073560689374,3.9376705132694387,0.26994699783989895,5.317885481312809
0.4,123,60.952380952380956,2.73035204543954,4.0270120938753164,3.86452207734636,0.2324838756021032,7.076700126036682
0.4,2024,63.8095238095238,2.706072451614199,3.9573199812793596,3.8357377588479826,0.2610739266435676,7.903018468983911
0.55,42,61.904761904761905,2.7907971081279586,3.8871628791604795,3.9459881409099213,0.2857019460270827,5.019546106108009
0.55,123,62.857142857142854,2.79624606704712,4.070857418325331,3.95051310557259,0.23793547175910607,4.834099235074708
0.55,2024,60.952380952380956,2.6743973454577583,3.8689570367320876,3.787597600644193,0.2733313663589813,8.98103161121984
0.7,42,61.904761904761905,2.937125482706797,4.020355291652903,4.145407619887947,0.28224736715082827,0.03948668345208618
0.7,123,62.857142857142854,2.956424748659134,4.222688786090773,4.174301500969895,0.23583361414039952,-0.6173339197487957
0.7,2024,66.66666666666666,2.833999259097236,4.113777518144158,4.023458852966966,0.2519165093381497,3.5492278603624703
